An HMM Approach	2
Language Independent NER	2
ROUGE	2
A Pointer Network Architecture	2
A Simple Hybrid Aligner	2
GPSG	2
QuEst++	2
an AAC System	2
LSTM Recurrent Neural Networks	2
BiLSTM	2
CUNI NMT System	2
the Lexical Markup Framework	2
a Maximum Entropy Classifier	2
Construct a Practical Parser	2
Deep Neural Network	2
Statistical NLG	2
A Flexible Example-Based Parser	2
an Intelligent Tutoring System	2
A Robust Parser	2
Probabilistic Linear Context-Free Rewriting Systems	2
The Corpora Management System	2
phonological networks	1
Consensus Attention-based Neural Networks	1
An adaptable task-oriented dialog system	1
Answer Localization System	1
A Meta-data Driven Platform	1
A Conditional Random Field-based Traditional Chinese Base Phrase Parser	1
CIC-FBK Approach	1
LSTM Approach	1
Memory	1
Bidirectional LSTM-CNNs	1
The ParseTalk Model	1
memory network	1
Neural Adaptation Layers	1
A Generative Probabilistic OCR Model	1
the project INEL	1
Base-NP Chunking and Its Role	1
Hidden Markov Model and SVM plus Sigmoid	1
CLP2012	1
A Summarization System	1
LSTC System	1
IPR versus Processing Issues	1
Improve Automatic Speech Recognition Systems	1
Original Semantics-Oriented Attention and Deep Fusion Network	1
AGORA. Multilingual Multiplatform Architecture	1
Multi-Timescale Long Short-Term Memory Neural Network	1
build an extendable and portable IE-based summarisation system	1
an Adversarial Learning Framework	1
Using a BERT and CNN-BiLSTM-GRU Model	1
SSHOC Repository	1
A Large Scale Ranker-Based System	1
SoNaR	1
Sequential Neural Networks	1
D\emonette a Multi-sourced Morpho-semantic Network	1
Example-based Spoken Dialogue System	1
Gradient Feature Extractor and Cosine Distance Based Multiclass k-Nearest Neighbor Classifier	1
the PAX Toolkit	1
a Hybrid POMDP Dialog Manager	1
Multimodal Logical Inference System	1
Computer-assisted translation tool	1
A Generalized Knowledge Hunting Framework	1
Active Production Networks	1
an argumentative content search engine	1
A Rule System	1
Croatian NERC System	1
The CUED MT System	1
The LAIX Systems	1
A Visual Programming Framework	1
Design Automatic Mood Detection Systems	1
Recursive Convolutional Neural Network	1
the rLDCP R Package	1
page-based documents within the Genre and Multimodality framework	1
VERBNET	1
RDF(S),DAML+OIL and OWL Parsers and Ontology Platforms	1
Multi-prototype Word Embedding	1
a Speech Dialog System	1
Linguistically Informed Deep Neural Networks	1
Triplet Network	1
A Graph-based Lattice Dependency Parser	1
Long Short-Term Memory-Networks	1
BootCaT	1
Semantic Roles within a Reconstruction-Error Minimization Framework	1
an MT Perspective	1
A Fast and Lightweight System	1
Bidirectional Attentive Memory Networks	1
Domain Knowledge Empowered Structured Neural Net	1
Distributed MCMC Inference	1
the Spoken Dutch Corpus (CGN)	1
Hierarchical CVAE	1
A Lattice-based Framework	1
a Bi-LSTM approach	1
Tactical NLG	1
an Automated Essay Scoring System	1
A Two-Stage Classifier	1
the BLEU Method	1
Content-Based News Recommender Systems	1
An improved Earley parser	1
NLP Frameworks	1
Hybrid semi-Markov CRF	1
Neural Tensor Network	1
Universal Schema and Memory Networks	1
A Novel Discourse Parser	1
A Differential LSI Method	1
Off-the-Shelf Text Analysis Software	1
a Diachronic BLARK	1
Non-Normative Understanding Systems	1
a Generic Interface	1
The ConceptMapper Approach	1
the Multistore Parser	1
phrase tables and feed-forward neural networks	1
Interactive Systems	1
a Trapper Protocol	1
Computer assisted translation tool	1
Hypergraph Attention Networks	1
Using an Attention-based CNN-LSTM	1
topological fields	1
an HMM Model	1
a Multilingual Framework	1
Corp\ografo V3	1
Pretrained Embeddings	1
the DEMON System	1
LMU Munichs Neural Machine Translation Systems	1
A Semantic Based Question Answering System	1
Attention-based Bidirectional LSTM	1
an Interactive Virtual Environment	1
The Edinburgh/JHU Phrase-based Machine Translation Systems	1
Corpus Coherence Combining Open Source Annotators	1
A Flexible and Easy-to-use Semantic Role Labeling Framework	1
Unsupervised Word Influencer Networks	1
Dirichlet-Smoothed Word Embeddings	1
Early Exiting BERT	1
Context-aware Character-enhanced Embeddings	1
a uniform TAG-based generation system	1
The Rosetta Stone TM	1
FrameNet Annotations Alignment	1
a Deep Syntax Framework	1
Multi Sense Embeddings	1
Aspect-augmented Adversarial Networks	1
Document Retrieval System	1
LOLITAs Semantic Network	1
hyperbolic large-margin classifiers	1
a Verb Class Identifier	1
the Word Count System	1
an HPSG grammar implementation	1
MSFA	1
An Interpretable Reasoning Network	1
An Efficient Primarily Bottom-Up Parser	1
Learning-to-Generate Word- and Phrase-Embeddings	1
Ant Colony System	1
Extended Named Entity Recognition API and Its Applications	1
Static Embeddings	1
Collaborative Graph Network	1
the GRAPH Approach	1
UplugWeb--Corpus Tools	1
SVMs and String Similarity Measures	1
AI and NLU Tools	1
LSTM-based Recurrent Neural Networks	1
AustKin II	1
A Grounded Unsupervised Universal Part-of-Speech Tagger	1
multi-task neural networks	1
POS n-gram Profiles and High-Dimensional Embeddings	1
Wavelet Energy-Based Support Vector Machine	1
Multi-layer Perceptron	1
a Statistical MT Approach	1
Attention-based LSTM Network	1
the TIGR System	1
SQuAD 2.0	1
Knowledge-Based Semantic Embedding	1
a Constraint-based Implementation	1
An Annotation Type System	1
Peace Machine	1
The LT3 CLPsych 2016 Shared Task System	1
LSTM language models	1
Tag-Enhanced Tree-Structured Neural Networks	1
WordNet synsets (short paper)	1
Tree Kernel-based SVM	1
a Semantic Analyzer	1
a Chinese Discourse Marker Tagger	1
the Swedish FrameNet	1
Hierarchical Phrase-based SMT	1
Time-Aware Word Embeddings	1
A TV Program Discovery Dialog System	1
The TALP-UPC Ngram-Based Statistical Machine Translation System	1
Estonian Natural Language Dialogue Systems	1
a linguistically fed CRF model	1
a Search Engine Interface	1
the Banking System	1
User-Centered TIPSTER Technology	1
An Automatic Error Tagger	1
Topic Memory Networks	1
Topical Attention-Based LSTM	1
Subsentential Translation Memory	1
Shared Encoder and Language-Specific Decoders	1
Arabic Morphological Analyzer	1
Coupled-LSTMs	1
A Lightweight Recurrent Network	1
ChaKi	1
the Ontology Engineering Field	1
Korean Multiple Subject Constructions (MSCs)	1
POS and RMWE	1
A Multilayered Analysis System	1
Web-Based Interfaces	1
a Spoken Dialogue Translation System	1
a Geo-Spatial Information Display System	1
a General-Knowledge Question-Answering System	1
A Relational Syntax-Semantics Interface	1
A Data-driven Co-reference Resolver	1
an OCR	1
A Minimalist NMT Toolkit	1
IBEnt	1
Universal API	1
The META-SHARE Metadata Schema	1
SMS	1
a maximum entropy-based tagger	1
a PCFG	1
KURD	1
a Gene Ontology Semantic Tagger	1
Computer Networks	1
LMU Bilingual Dictionary Induction System	1
A Thai Speech Translation System	1
Word Re-Embedding	1
the Nabu System	1
A Stochastic Japanese Morphological Analyzer	1
Back Propagation Neural Network	1
The AFRL WMT-14 System	1
the IGEN generator	1
A Logic-Driven Framework	1
A Machine Reading Framework	1
